"tema","autor_anio","titulo","venue","doi_isbn","hallazgo_clave","relevancia_gap_miu"
"D_f/fractal","Mandelbrot 1967","How Long Is the Coast of Britain","Science 156(3775):636-638","10.1126/science.156.3775.636","Introduce la dimension fractal como medida de rugosidad de una curva empirica","Fundamento teorico original de D_f"
"D_f/series","Peng et al. 1994","Mosaic organization of DNA nucleotides (DFA)","Phys Rev E 49:1685","10.1103/PhysRevE.49.1685","Propone DFA para estimar exponentes de escalamiento en series no estacionarias","Metodo candidato para benchmark box-counting/DFA"
"D_f/series","Higuchi 1988","Approach to an irregular time series on the basis of the fractal theory","Physica D 31:277-283","10.1016/0167-2789(88)90081-4","Metodo Higuchi para estimar D_f de series cortas/ruidosas","Alternativa robusta a DFA para muestras pequenas"
"validacion power-law","Clauset Shalizi Newman 2009","Power-Law Distributions in Empirical Data","SIAM Review 51(4):661-703","10.1137/070710111","MLE + goodness-of-fit para validar si una distribucion es realmente ley de potencia","Evita declarar power-law sin test estadistico real"
"early warning","Scheffer et al 2009","Early-warning signals for critical transitions","Nature 461:53-59","10.1038/nature08227","Varianza y autocorrelacion crecientes anticipan transiciones criticas","Baseline directo para D_f vs senales tempranas"
"early warning","Dakos et al 2012","Methods for Detecting Early Warnings of Critical Transitions","PLOS ONE 7(7):e41010","10.1371/journal.pone.0041010","Compara metodos de deteccion temprana y su robustez frente a ruido","Protocolo de comparacion metodologica"
"escalamiento urbano","Bettencourt et al 2007","Growth innovation scaling and the pace of life in cities","PNAS 104(17):7301-7306","10.1073/pnas.0610172104","Leyes de escala superlineal/sublineal entre poblacion y metricas urbanas","Sustento empirico de DATO existente sobre ciudades y D_f"
"escalamiento urbano","Batty 2008","The Size Scale and Shape of Cities","Science 319(5864):769-771","10.1126/science.1151419","Marco teorico de ciudades como sistemas fractales auto-similares","Contraste teorico para D_f en sistemas urbanos"
"desigualdad economica","Piketty Saez 2003","Income Inequality in the United States 1913-1998","QJE 118(1):1-39","10.1162/00335530360535135","Evolucion empirica de la desigualdad de ingresos con datos fiscales","Referencia empirica para DATO sobre desigualdad y power-law"
"desigualdad power-law","Gabaix 2009","Power Laws in Economics and Finance","Annu Rev Econ 1:255-294","10.1146/annurev.economics.050708.142940","Mecanismos generativos de leyes de potencia en riqueza y finanzas","Marco teorico para justificar D_f en distribuciones de ingreso"
"power-law general","Newman 2005","Power laws Pareto distributions and Zipf law","Contemp Physics 46(5):323-351","10.1080/00107510500052444","Guia para identificar y no sobre-interpretar leyes de potencia","Evita falsos positivos de D_f"
"redes complejas","Barabasi Albert 1999","Emergence of Scaling in Random Networks","Science 286(5439):509-512","10.1126/science.286.5439.509","Conexion preferencial genera redes libres de escala","Sustento teorico para DATO sobre redes socioecologicas"
"redes complejas","Watts Strogatz 1998","Collective dynamics of small-world networks","Nature 393:440-442","10.1038/30918","Redes de mundo pequeno alta clusterizacion y caminos cortos","Marco alterno de topologia de red"
"sintesis","West 2017","Scale The Universal Laws of Growth Innovation Sustainability","Penguin Press libro","ISBN 978-1594205583","Sintesis accesible de leyes de escala en biologia ciudades y empresas","Puente narrativo para comunicar D_f"
"fundamentos matematicos","Falconer 2003","Fractal Geometry Mathematical Foundations and Applications","Wiley libro","ISBN 978-0470848623","Tratado matematico riguroso de D_f Hausdorff box-counting","Referencia tecnica para implementar estimadores D_f"
